"processed","message_id","event","api_key_id","recv_message_id","credential_id","subject","from","email","asm_group_id","template_id","originating_ip","reason","outbound_ip","outbound_ip_type","mx","attempt","url","user_agent","type","is_unique","username","categories","marketing_campaign_id","marketing_campaign_name","marketing_campaign_split_id","marketing_campaign_version","unique_args"
"2026-01-07 10:26:22.000","Gga6BI8jQJ-_F16eSlFXQg.recvd-6cfbc69475-6776c-1-695E34CE-3.0","drop","","Gga6BI8jQJ-_F16eSlFXQg","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 10:26:32.000","4IuqPGwGQWubcuLyguad5Q.recvd-5fb7fdbd94-nwxct-1-695E34D8-26.0","drop","","4IuqPGwGQWubcuLyguad5Q","","Alerta de seguridad: posible fraude detectado","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 10:31:52.000","41TumWFOT4uKsl_yLBF1IQ.recvd-57646fdd57-zs5fm-1-695E3618-2B.0","drop","","41TumWFOT4uKsl_yLBF1IQ","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 10:31:58.000","RXKk7Up5ROWmpqTZGIEkVA.recvd-7445688857-299lw-1-695E361E-2B.0","drop","","RXKk7Up5ROWmpqTZGIEkVA","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 10:32:08.000","rfYVb0NtRsyEUp3MMQWSzw.recvd-7445688857-zd527-1-695E3628-10.0","drop","","rfYVb0NtRsyEUp3MMQWSzw","","Alerta de seguridad: posible fraude detectado","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 10:32:13.000","GZmQ10yVQ4-rbbhVsdxFWA.recvd-5fd89d8b4b-c6h8q-1-695E362D-1C.0","drop","","GZmQ10yVQ4-rbbhVsdxFWA","","Pago programado","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 10:32:19.000","9r7mtfMxTYKMGKK60vru-g.recvd-6db4b8db96-dwfrg-1-695E3633-11.0","drop","","9r7mtfMxTYKMGKK60vru-g","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 10:32:19.000","3X52kcPOSzqpExQagsB2Tg.recvd-5fb7fdbd94-64jb8-1-695E3633-23.0","processed","","3X52kcPOSzqpExQagsB2Tg","","Test Notifications Service","elenaberdu@gmail.com","elenaberdu@gmail.com","","","87.58.86.119","","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 10:32:22.000","3X52kcPOSzqpExQagsB2Tg.recvd-5fb7fdbd94-64jb8-1-695E3633-23.0","delivered","","3X52kcPOSzqpExQagsB2Tg","","","","elenaberdu@gmail.com","","","","250 2.0.0 OK  1767781942 6a1803df08f44-89077268311si45053296d6.607 - gsmtp","159.183.224.104","shared","gmail-smtp-in.l.google.com",0,"","","","","","[]","","","","","{}"
"2026-01-07 10:32:25.000","YvEqbhiKSjO2dvjjIsKtUg.recvd-6cfbc69475-rs6gw-1-695E3639-1.0","drop","","YvEqbhiKSjO2dvjjIsKtUg","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
